Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);Parking
680000;22/04/2020;Ursus, Warszawa;Agencja;Mieszkanie;3 pokoje;;77;
670000;22/04/2020;Białołęka, Warszawa;Agencja;Mieszkanie;4 pokoje;;104;
588000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;
677320;09/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;57;Garaż
1113600;13/04/2020;Praga Północ, Warszawa;Właściciel;Mieszkanie;4 pokoje;2 łazienki;96;Kryty
540000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;50;
1673000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;4 pokoje;;118;
699000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;
590000;22/04/2020;Wola, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;46;Garaż
919000;22/04/2020;Wilanów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;103;Garaż
828400;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;76;
580000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;3 pokoje;;49;
669999;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;3 pokoje;;60;
590000;22/04/2020;Praga Południe, Warszawa;Agencja;Mieszkanie;2 pokoje;;59;Ulica
910000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;
630000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;3 pokoje;;62;Ulica
375000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;Kawalerka lub garsoniera;;25;
439000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;2 pokoje;;46;Ulica
520000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;3 pokoje;;61;
620000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;49;Ulica
1400000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;4 pokoje;;141;
935000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;94;Ulica
925000;22/04/2020;Targówek, Warszawa;Agencja;Mieszkanie;5 pokoi;;118;
588000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;;47;Ulica
990000;22/04/2020;Bemowo, Warszawa;Agencja;Mieszkanie;4 pokoje;;89;Garaż
345000;15/04/2020;Praga Południe, Warszawa;Właściciel;Mieszkanie;Kawalerka lub garsoniera;1 łazienka;27;Ulica
440000;01/03/2020;Bielany, Warszawa;Właściciel;Mieszkanie;3 pokoje;1 łazienka;56;Brak
